odid,display_name,similarity score,release_date,MONTH,release_pattern,distributor,movie_url,production_year,running_time,sequel,opening_weekend_revenue,opening_weekend_theaters,maximum_theaters,theatrical_engagements,domestic_dvd_units,domestic_dvd_spending,domestic_bluray_units,domestic_bluray_spending,creative_type,source,production_method,genre,production_budget,domestic_box_office,international_box_office,inflation_adjusted_domestic_box_,franchise,video_rental_spending,rating,reason,production_company1,production_company2,production_company3,imdbid,movieId,imdb_moviemeter,imdb_rating,imdb_votes
176950100,Dawn of the Planet of the Apes,0.418152147,7/11/14,7,Wide,20th Century Fox,Dawn-of-the-Planet-of-the-Apes,2014,130,1,72611427,3967,3969,21830,1573601,22812927,1067397,18211080,Science Fiction,Remake,Animation/Live Action,Adventure,170000000,208545589,495000000,215182283,Planet of the Apes,,PG-13,"for intense sequences of sci-fi violence and action, and brief strong language.",Chernin Entertainment,TSG Entertainment,Ingenious Media,2103281,112623,,,
161050100,The Boxtrolls,0.434098078,9/26/14,9,Wide,Focus Features,Boxtrolls-The,2014,96,0,17275239,3464,3464,16586,534283,8434673,319231,10392808,Kids Fiction,Based on Fiction Book/Short Story,Stop-Motion Animation,Adventure,60000000,50837305,61108946,52448172,,,PG,"for action, some peril and mild rude humor.",Laika,,,787474,114552,81564,,
191950100,A Haunted House 2,0.443097021,4/18/14,4,Wide,Open Road,Haunted-House-2-A,2014,87,1,8843875,2310,2310,6804,169307,2819413,39890,916998,Multiple Creative Types,Original Screenplay,Live Action,Comedy,4000000,17329487,3877374,17880974,A Haunted House,,R,"for crude and sexual content, nudity, pervasive language, drug use and some violent images.",Baby Way,IM Global,Endgame Releasing,2828996,110773,,,
210770100,Annabelle,0.445680667,10/3/14,10,Wide,Warner Bros.,Annabelle,2014,98,0,37134255,3185,3215,15066,404802,6029851,156734,3715383,Fantasy,Spin-Off,Live Action,Horror,6500000,84273813,166400000,86955720,The Conjuring,,R,for intense sequences of disturbing violence and terror.,RatPac Entertainment,Atomic Monster,The Safran Company,3322940,114713,,,
153080100,Ouija,0.451504285,10/24/14,10,Wide,Universal,Ouija-(2014),2014,89,0,19875995,2858,2899,13220,319031,5929411,84663,1825589,Fantasy,Based on Game,Live Action,Horror,5000000,50856010,52734261,52474432,Ouija,,PG-13,"for disturbing violent content, frightening horror images, and thematic material.",Platinum Dunes,Blumhouse,Hasbro Studios,1204977,115534,,,
180710100,Jack Ryan: Shadow Recruit,0.453059677,1/17/14,1,Wide,Paramount Pictures,Jack-Ryan-Shadow-Recruit,2013,105,0,15451981,3387,3387,14766,497117,7520165,435747,7934278,Contemporary Fiction,Original Screenplay,Live Action,Action,60000000,50577412,80800000,52186969,Jack Ryan,6409651,PG-13,"for sequences of violence and intense action, and brief strong language.",Skydance Productions,di Bonaventura Pictures,Mace Neufeld,1205537,108188,,,
198490100,Sabotage,0.453359859,3/28/14,3,Wide,Open Road,Sabotage,2014,110,0,5272444,2486,2486,6039,252358,4277428,145006,3385315,Contemporary Fiction,Original Screenplay,Live Action,Action,35000000,10508518,7867925,10842936,,,R,"for strong bloody violence, pervasive language, some sexuality/nudity and drug use.",QED International,Crave Films,,1742334,109072,,,
192660100,Oculus,0.453491725,4/11/14,4,Wide,Relativity,Oculus,2013,104,0,12005402,2648,2648,8894,180100,2797894,54623,1365039,Fantasy,Original Screenplay,Live Action,Horror,5000000,27695246,16420250,28576604,,,R,"for terror, violence, some disturbing images and brief language.",Blumhouse,Intrepid Pictures,Relativity Media,2388715,110591,,6.5,48309
198630100,Before I Go to Sleep,0.454631665,10/31/14,10,Wide,Clarius Entertainment,Before-I-Go-to-Sleep,2013,92,0,1843347,1935,1935,2804,78941,973871,17448,313324,Contemporary Fiction,Based on Fiction Book/Short Story,Live Action,Thriller/Suspense,22000000,3242457,16321122,3345639,,,R,for some brutal violence and language.,Scott Free Films,Millennium Films,StudioCanal,1726592,114007,,,
203030100,"As Above, So Below",0.458210257,8/29/14,8,Wide,Universal,As-Above-So-Below,2014,93,0,8632820,2640,2650,9237,9582,140438,9851,228042,Contemporary Fiction,Original Screenplay,Live Action,Thriller/Suspense,5000000,21222315,20577311,21897684,,,R,"for bloody violence/terror, and language throughout.",Legendary Pictures,Brothers Dowdle,,2870612,113780,,,
190850100,The Quiet  Ones,0.465709098,4/25/14,4,Wide,Lionsgate,Quiet-Ones-The,2013,98,0,3880053,2027,2027,5692,75870,875255,19378,297598,Fantasy,Original Screenplay,Live Action,Horror,0,8509867,3000000,8780680,,,PG-13,"for intense sequences of violence and terror, sexual content, thematic material, language, and smoking throughout.",Hammer Films,,,2235779,110451,,,
186700100,Hercules,0.483681121,7/25/14,7,Wide,Paramount Pictures,Hercules-(2014),2013,97,0,29800263,3595,3595,13650,594469,9115284,456383,7843662,Fantasy,Based on Folk Tale/Legend/Fairytale,Live Action,Action,100000000,72688614,170700000,75001836,,155775,PG-13,"for epic battle sequences, violence, suggestive comments, brief strong  anguage and partial nudity.",Flynn Picture Company,Radical Studios,,1043726,110295,,,
187550100,The Legend of Hercules,0.483931295,1/10/14,1,Wide,Lionsgate,Legend-of-Hercules-The,2013,98,0,8868318,2104,2104,6775,547906,8078842,204694,4294701,Fantasy,Based on Folk Tale/Legend/Fairytale,Live Action,Adventure,70000000,18848538,42553907,19448364,,25229431,PG-13,"for sequences of intense combat action and violence, and for some sensuality.",Millennium Films,Summit Entertainment,Nu Boyana,1043726,110295,,,
183110100,Bears,0.484681045,4/18/14,4,Wide,Walt Disney,Bears,2014,77,0,4776267,1720,1790,7626,,,147859,3492846,Factual,Based on Real Life Events,Live Action,Documentary,0,17780194,371552,18346024,,,G,,Disney Nature,Silverback Films,,2458776,110678,,,
