,EP_POV,EP_UNEMP,EP_PCI,EP_NOHSDP,EP_AGE65,EP_AGE17,EP_DISABL,EP_SNGPNT,EP_MINRTY,EP_LIMENG,EP_MUNIT,EP_MOBILE,EP_CROWD,EP_NOVEH,EP_GROUPQ
968,17.9,9.5,24727,11.2,19.1,22.9,18.2,10.8,8.7,0.4,2.4,17.3,1.7,7.4,2.0
969,9.2,3.2,28391,14.7,18.4,25.3,11.8,5.7,3.1,0.4,2.8,3.8,3.3,10.2,2.4
970,12.9,5.1,25340,16.6,18.0,19.4,15.7,8.2,15.0,0.4,2.3,12.6,0.9,6.1,12.7
971,14.4,7.1,27453,7.1,21.4,21.6,14.7,12.5,17.1,0.3,7.5,3.8,0.7,9.7,1.8
972,5.4,2.5,44712,6.4,12.6,26.8,9.9,7.5,8.9,0.8,7.9,3.4,1.3,4.0,1.0
973,14.6,6.0,23918,15.8,17.1,23.4,15.2,9.7,19.6,4.9,2.9,5.0,1.8,7.0,3.1
974,13.3,4.7,25075,18.8,14.0,27.8,13.1,11.4,24.9,3.6,8.1,6.8,2.6,8.4,1.7
975,19.2,7.3,21739,13.0,18.3,20.8,18.9,11.9,14.9,0.1,5.7,5.9,1.0,7.4,7.9
976,14.1,2.8,24540,10.6,17.8,21.5,14.9,9.2,5.8,0.1,4.6,10.9,1.0,4.7,8.6
977,13.1,6.2,22976,11.3,16.8,20.1,19.0,10.3,8.0,0.2,6.1,13.8,2.3,6.1,10.2
978,10.2,2.5,28957,10.2,24.4,19.5,13.1,6.6,3.1,0.2,0.4,1.5,0.6,4.1,2.2
979,19.6,4.4,22037,11.3,19.1,21.8,15.6,7.7,7.1,0.6,4.9,7.4,2.6,9.7,9.7
980,12.1,3.3,30386,9.5,20.1,20.9,14.7,9.3,12.4,1.9,2.5,3.9,3.0,4.4,9.7
981,9.5,3.5,34289,5.3,15.2,23.6,10.1,8.8,13.6,1.0,11.9,4.4,1.4,5.0,2.2
982,11.1,5.1,27041,18.1,17.4,22.9,11.5,7.5,21.8,5.9,0.8,12.2,3.0,6.0,1.2
983,16.1,6.8,28780,9.9,20.7,23.3,15.9,12.3,6.1,0.8,1.6,2.9,2.1,6.6,2.0
984,11.1,4.3,34474,8.5,12.4,25.1,10.9,9.6,21.9,2.9,17.9,2.1,2.5,5.9,1.9
985,6.8,2.6,28467,9.2,14.9,27.1,8.7,5.5,12.9,2.1,4.1,3.4,2.7,3.6,6.6
986,8.6,1.9,30706,5.3,19.4,18.4,11.3,4.5,4.8,0.2,3.2,3.2,0.5,3.3,11.2
987,13.2,4.7,27430,13.3,14.4,26.2,12.5,12.4,26.1,3.9,9.4,3.4,2.5,7.6,2.8
988,13.9,2.9,23210,8.7,21.0,26.4,13.7,6.2,5.0,0.0,2.0,7.8,1.2,6.6,1.6
989,13.8,4.7,21635,11.0,18.4,23.8,22.5,7.2,11.7,0.0,1.4,11.4,1.2,7.0,1.2
990,9.5,3.0,28467,6.5,26.2,21.4,15.7,6.9,7.7,1.5,1.5,4.7,0.5,3.4,1.3
991,18.6,2.3,30208,8.7,27.7,19.3,17.1,5.9,4.8,1.0,1.6,4.1,0.5,3.8,2.6
992,18.7,4.4,30315,4.5,11.3,18.6,10.6,6.2,21.3,0.9,16.3,2.1,1.8,5.8,7.1
993,8.5,2.2,27309,15.7,20.0,23.5,13.7,6.5,23.2,4.8,4.3,7.0,1.2,3.6,3.2
994,11.0,3.6,25161,8.8,20.7,18.9,17.5,6.1,14.2,0.5,3.3,9.4,1.8,7.0,13.9
995,9.6,3.5,26685,8.8,26.8,20.3,19.8,4.9,11.6,0.2,1.5,9.8,0.0,3.0,1.7
996,12.2,3.1,27639,8.4,24.7,21.4,21.1,7.1,7.8,0.1,0.4,10.1,2.1,5.4,1.3
997,15.9,2.6,26908,6.0,29.1,18.7,18.7,2.0,4.6,0.2,1.8,8.2,0.1,4.9,1.1
998,7.4,3.6,23370,14.1,18.3,26.0,16.3,7.4,28.2,5.3,0.3,12.1,0.0,3.6,2.9
