STATE,EP_AGE17,EP_AGE65,EP_CROWD,EP_DISABL,EP_GROUPQ,EP_LIMENG,EP_MINRTY,EP_MOBILE,EP_MUNIT,EP_NOHSDP,EP_NOVEH,EP_PCI,EP_POV,EP_SNGPNT,EP_UNEMP,E_TOTPOP,FIPS,V_PCT_12YRS,V_PCT_18YRS,V_PCT_65YRS,V_PCT_ALL,V_REPORT_COMPLETENESS
ND,0.0002601088810591218,0.00023163516799965984,2.095561583283623e-05,0.00014388082623370028,3.234078031108849e-05,4.817631268786061e-06,0.00014617082136594836,0.00010613911400693236,7.989058489673029e-05,0.0001098333514372571,4.61023548322397e-05,0.3969935561265276,0.00012149936437512469,7.23724876701045e-05,2.970512553623692e-05,0.16250345551623963,0.43570592383718143,0.0005265692580510827,0.000552342505152705,0.0007796569276198213,0.0004441510370178145,0.001088892685383963
NE,0.0002863200120473696,0.00025987691190959306,1.820300277161084e-05,0.00017021076326058707,3.229263441067866e-05,1.7642088526264063e-05,0.00013349759039253263,8.436417352037101e-05,4.329723770033921e-05,0.00010630660459429368,4.873276383977106e-05,0.3545472169331571,0.0001366493942473383,7.761984747513002e-05,3.309394047545977e-05,0.2543826233254106,0.38618264681970443,0.0005365411858763503,0.0005646937389523266,0.000770562622095673,0.00045475454686435857,0.001112853862768003
NH,9.120038686663297e-05,9.351112443144793e-05,6.440566404058717e-06,7.015792563810525e-05,1.9469193099291998e-05,3.1465362584714343e-06,3.7070130295116584e-05,3.5447697536842246e-05,3.554602679491948e-05,3.7020965666077966e-05,2.73846983745092e-05,0.1747320748958226,4.508396482841102e-05,3.564435605299672e-05,2.005916864775539e-05,0.6605867719812352,0.16229244045647195,0.0003262073136712182,0.00033309036173662446,0.0004199150966188206,0.0002896779942955264,0.00046263915925337805
NJ,4.394324335463926e-05,3.243361527808123e-05,5.281225850590218e-06,2.2320833169251774e-05,4.764584191293349e-06,1.0237158804586111e-05,7.603243085985591e-05,2.784124497322017e-06,2.5966027098735235e-05,2.0742205876955785e-05,1.9785462063443064e-05,0.08082055094896166,2.044561529476684e-05,1.636988664920265e-05,1.257161370955715e-05,0.849765025632889,0.06835370068698417,0.00013824948105258813,0.0001420381865540985,0.00015963270528459743,0.00011926768379249574,0.00018785664778322268
NM,0.0001808653931903534,0.00016504441757888094,2.475666263683214e-05,0.00015704533230972043,2.6908315319992397e-05,2.9743434149568265e-05,0.00046576952200174987,0.0001928893346550725,2.5262933856399257e-05,0.0001289472796237453,4.953863883464263e-05,0.1923643314003814,0.0001710437315307513,7.308025054451368e-05,5.7816173274565035e-05,0.5197195551080905,0.28375388060053996,0.00043281126560793036,0.0004371651980962076,0.00048470406561356013,0.0003759823212115212,0.0006828586209521306
NV,9.060145686437177e-05,8.417671506781593e-05,1.4109236886554002e-05,7.089891535493386e-05,1.844278821599559e-05,1.0934658587079351e-05,0.00012201970400282327,9.969687564302532e-05,2.161736651547024e-05,5.326236924674136e-05,2.2625169150224095e-05,0.1243580580661109,5.2254566611987504e-05,3.542426261159808e-05,2.7941328048550695e-05,0.7364137307969193,0.13725616813634947,0.00019536254074703523,0.00020387847301070534,0.00027369400053327877,0.00016863057586018917,0.0004064719976620995
NY,5.2931693913428554e-05,4.5842515337599457e-05,5.934931027958765e-06,3.654137873366973e-05,1.1966399123557594e-05,5.708278782195134e-06,4.909119752687815e-05,1.9324202583254703e-05,2.3785894013749875e-05,2.8675706352909674e-05,3.19159940145675e-05,0.08136303556729456,3.5391328449609836e-05,2.2300062624854958e-05,1.4984231803262228e-05,0.8234382279367094,0.09384427106984042,0.00017302380605766914,0.00017688948602708214,0.0002154203678068993,0.00015075312427948723,0.00025398482769719996
OH,0.00011349276483481663,8.711049974588542e-05,6.937600823947553e-06,7.735681444615308e-05,1.4775892634077285e-05,2.7191746861322786e-06,5.006245721931587e-05,4.187643028160947e-05,2.3531977157974936e-05,5.6629520612239106e-05,3.52523611300671e-05,0.13797936042662742,7.077834990150601e-05,4.373481801259296e-05,2.7533781413037536e-05,0.6636541441470641,0.19608521617558464,0.0002547074300861139,0.00026735130734783586,0.0003938527862995369,0.00021844606702848827,0.000495129217062275
OK,0.000206952014363196,0.00015184101118807157,2.2905020433093604e-05,0.00015895680765334283,3.11414147669115e-05,1.1945573278707329e-05,0.0002547118955206544,0.00012286235030745514,2.2580047051215074e-05,0.00012151763286519914,4.4947180507406286e-05,0.21114876544069008,0.00014696641045989364,7.689542573967138e-05,4.7782293114829315e-05,0.439065597087378,0.34580854598863064,0.00039306090837142423,0.00041452035755409265,0.0006061986229689979,0.00033194350062088976,0.0008093630165365061
OR,0.00011362158363512133,0.0001153707780284331,1.7218156984599375e-05,9.801572756957454e-05,1.4906178308222075e-05,1.1879311488491265e-05,0.00010651833335967266,7.798364916964754e-05,3.3660584281730054e-05,6.082633372916334e-05,3.3614953123643656e-05,0.1516238205049115,8.352022968413002e-05,4.1235356524071476e-05,3.735670808672798e-05,0.6208792877754994,0.22470242438799223,0.0003368187882217037,0.0003476029519161215,0.00043653807902650364,0.0002922523571573255,0.0005355272713019212
PA,7.60302821490939e-05,7.366926994527215e-05,4.72771359367682e-06,5.937803462960888e-05,1.7699057749613225e-05,3.7605519680148954e-06,4.5718298963642516e-05,3.0016145511719504e-05,1.9144111002072807e-05,3.955122130353942e-05,3.086952341671532e-05,0.11013086498970437,4.809637872556419e-05,2.9048983886057577e-05,2.0776907393631467e-05,0.727714082946819,0.16034908253825017,0.00021968222949005626,0.0002276698466808171,0.000308319747888955,0.00019198158269389208,0.00035982963823450245
RI,6.3474632511991e-05,6.245957975327045e-05,3.924870667052748e-06,4.351192825715374e-05,1.536113174863748e-05,7.173039494958471e-06,5.433915768350614e-05,4.263221586626261e-06,3.254935846297193e-05,3.099294423293376e-05,2.456427676103702e-05,0.1342941867860838,3.3699751589521865e-05,2.4902627680610534e-05,1.786492855348147e-05,0.7150106069629777,0.1488913221583243,0.0002599211764163725,0.00026249264340513117,0.0003160197588816609,0.00023034930604564746,0.0003160197588816609
SC,0.00012213203626650933,0.00010298416507828415,1.1093997071282841e-05,9.626647403401564e-05,1.9393042394220393e-05,6.840276647266106e-06,0.00024291563090004506,0.00013583710668164107,2.303383480324913e-05,9.177984096430347e-05,4.482955501622249e-05,0.1356014971526797,0.00010965282188135361,5.512674566802093e-05,4.447405676752945e-05,0.6075250545358831,0.2540115893409759,0.0002808190993469032,0.00029188857929758643,0.00041102952685095434,0.00024282982097794677,0.0005289323598140465
SD,0.00028530357378628903,0.00021450045174361982,3.397582082887178e-05,0.00014074215912020946,4.2167346298294576e-05,6.618890832888042e-06,0.00022820483929056554,0.00013203218267170925,5.4834831887085534e-05,0.00011634039970496685,5.649387502013318e-05,0.3202499348479937,0.00018118133548824608,9.254349976531454e-05,5.244995738332953e-05,0.14936382608527346,0.5254474750400417,0.0005522539829132384,0.0005765347704333629,0.0007485222418926365,0.00045684172106369555,0.0009672221465667832
TN,0.00015187069145297278,0.00013032753888576144,1.380305331554016e-05,0.00013474303174745305,2.090494687627776e-05,5.046277556218983e-06,9.630969135972053e-05,0.00012086576846785085,2.0860420897840534e-05,0.0001194038321758286,3.9962065647410625e-05,0.1711955597744415,0.00012611983392344357,5.8262242785110645e-05,4.711590618299165e-05,0.4935770756634553,0.33201723446268583,0.00031764833017117254,0.00033510251371856535,0.0005072251043640698,0.00027436907913018857,0.0006901897707590391
